oltra_id,hotelid,hotel_name,city,country,agoda_hotel_id,reason
1020,,Kasbah Tamadot,Asni,Morocco,55818868,911 No search result
1024,,Palais Ronsard,Marrakech,Morocco,49650818,911 No search result
1047,,Lion Sands Tinga Lodge,Sabi Sand Reserve,South Africa,845134,911 No search result
1067,,COMO Uma Paro,Paro,Bhutan,51032446,911 No search result
1075,,Amanyangyun,Shanghai,China,18517126,911 No search result
1087,,Rosewood Hong Kong,Hong Kong,China,17209693,911 No search result
1088,,Shinta Mani Mustang - A Bensley Collection,Jomsom,China,51081600,911 No search result
1092,,The Opposite House,Beijing,China,64593634,911 No search result
1110,,Six Senses Fort Bawara,Chauth Ka Barwara,India,25413255,911 No search result
1114,,The Oberoi New Delhi,New Delhi,India,3090313,911 No search result
1117,,Amankila,Mangis,Indonesia,15819145,911 No search result
1121,,Cap Karoso Sumba Indonesia,Karoso Beach,Indonesia,52115004,911 No search result
1131,,Six Senses Uluwatu,Uluwatu,Indonesia,83322708,911 No search result
1136,,Aman Tokyo,Tokyo,Japan,15824204,911 No search result
1181,,Velaa Private Island,Velaa,Maldives,15655106,911 No search result
1183,,Amanpulo,Pamalican Island,Philippines,15647336,911 No search result
1216,,Six Senses Hideaway Samui,Bo Phut,Thailand,3084622,911 No search result
1217,,Six Senses Hideaway Yao Noi,Yao Noi,Thailand,3084169,911 No search result
1236,,Sandy Lane,St. James,Barbados,69498909,911 No search result
1243,,Rosewood Little Dix Bay,Spanish Town,British Virgin Islands,64858253,911 No search result
1251,,Rosewood Le Guanahani St. Barth,Grand Cul-de-sac,St. Barthelemy,77464955,911 No search result
1254,,Canouan Estate,Canouan Island,St. Vincent,9392889,911 No search result
1257,,COMO Parrot Cay,Providenciales,Turks & Caicos Islands,5205111,911 No search result
1259,,Pine Cay - Turks and Caicos,Pine Cay,Turks & Caicos Islands,75914433,911 No search result
1261,,Jumby Bay Island,Jumby Bay,Antigua and Barbuda,55334053,911 No search result
1264,,Hacienda AltaGracia,Perez Zeledón,Costa Rica,68855101,911 No search result
1265,,Nayara Springs,Arenal,Costa Rica,69663687,911 No search result
1273,,Kristiania Lech,Lech Am Arlberg,Austria,1568035,911 No search result
1279,,"Hotel d'Angleterre, Copenhagen",Copenhagen,Denmark,15363437,911 No search result
1289,,Grantley Hall,Rippon,England,16346568,911 No search result
1304,,"The Franklin, London",London,England,37824018,911 No search result
1319,,Cap Estel,Èze Bord-De-Mer,France,45062628,911 No search result
1321,,Château Saint-Martin & Spa,Vence,France,45062800,911 No search result
1323,,Cheval Blanc Paris,Paris,France,26039232,911 No search result
1346,,Hotel Royal Evian,Neuvecelle,France,25077040,911 No search result
1352,,L'Apogee,Courchevel 1850,France,63140276,911 No search result
1371,,Villa La Coste,Le Puy-Sainte-Réparade,France,73426160,911 No search result
1373,,Brenner's Park – Hotel & Spa,Baden Baden,Germany,3891,911 No search result
1375,,Excelsior Hotel Ernst,Cologne,Germany,37822229,911 No search result
1394,,Elounda Beach,Elounda,Greece,7399939,911 No search result
1401,,Katikies Mykonos,Agios Ioannis,Greece,36822052,911 No search result
1405,,Lesante Blu,Tragaki Beach,Greece,69820023,911 No search result
1419,,Ashford Castle Hotel,Cong,Ireland,30928150,911 No search result
1435,,Castello di Reschio,Perugia,Italy,70282734,911 No search result
1445,,Grand Hotel Quisisana,Capri,Italy,54470546,911 No search result
1468,,Passalacqua,Moltrasio,Italy,35518001,911 No search result
1470,,Portrait Rome,Rome,Italy,31089628,911 No search result
1478,,Splendido Mare,Portofino,Italy,1711439,911 No search result
1486,,Villa d'Este,Cernobbio,Italy,15302831,911 No search result
1489,,Hôtel de Paris Monte Carlo,Monte Carlo,Monaco,15463281,911 No search result
1511,,The Torridon,By Achnasheen,Scotland,7382994,911 No search result
1518,,Castell Son Claret,Calvia,Spain,62068763,911 No search result
1527,,"Hotel Ritz, Madrid",Madrid,Spain,37821778,911 No search result
1555,,Gstaad Palace,Gstaad,Switzerland,3470718,911 No search result
1589,,Six Senses Shaharut,,Israel,13869503,911 No search result
1592,,Six Senses Zighy Bay,Dibba,Oman,15404405,911 No search result
1612,,The Lana Dubai,Dubai,UAE,56839035,911 No search result
1628,,Chable Maroma,Riviera Maya,Mexico,5879804,911 No search result
1630,,Esperanza,Cabo San Lucas,Mexico,2268538,911 No search result
1631,,Etéreo,Quintana Roo,Mexico,28020211,911 No search result
1634,,Hotel Esencia,Carretera,Mexico,32637325,911 No search result
1636,,Las Ventanas Al Paraiso,San Jose del Cabo,Mexico,15294337,911 No search result
1644,,Rosewood Mayakoba,Playa del Carmen,Mexico,15662698,911 No search result
1645,,Rosewood San Miguel de Allende,San Miguel de Allende,Mexico,15508740,911 No search result
1646,,Susurros Del Corazon,Banderas Bay,Mexico,32829807,911 No search result
1680,,Four Seasons Resort Lanai at Manele Bay,Lanai,USA,62785684,911 No search result
1681,,Four Seasons Resort Scottsdale,Scottsdale,USA,70721720,911 No search result
1696,,Montage Palmetto Bluff,Palmetto Bluff,USA,211773,911 No search result
1706,,Post Ranch Inn,Big Sur,USA,72420338,911 No search result
1708,,Rosewood Miramar Beach,Montecito,USA,15336863,911 No search result
1710,,"Stanly Ranch, Auberge Resorts Collection",Napa Valley,USA,35486945,911 No search result
1718,,The Chatwal,New York,USA,60511067,911 No search result
1726,,The Inn at Mattei's Tavern,Los Olivos,USA,54470828,911 No search result
1732,,The Lodge at Blue Sky,Wanship,USA,62079167,911 No search result
1756,,The Sanctuary at Kiawah Island Golf Resort,Kiawah Island,USA,15448146,911 No search result
1762,,The Umstead Hotel and Spa,Cary,USA,15609581,911 No search result
1779,,Copacabana Palace,Rio de Janeiro,Brazil,66412304,911 No search result
1786,,The Singular Patagonia,Natales,Chile,80962441,911 No search result
1788,,Tierra Patagonia Hotel & Spa,,Chile,82861568,911 No search result
1789,,Casa Gangotena,Quito,Equador,557036,911 No search result
1793,,"Hotel Fasano Las Piedras, Punta del Este",Maldonado,Uruguay,15358330,911 No search result
1799,,Silky Oaks Lodge,Mossman,Australia,5679002,911 No search result
1805,,The Brando,Arue Tahiti,French Polynesia,62660098,911 No search result
1821,,Royal Champagne Hotel & Spa,Champillon,France,6639283,911 No search result